well,rows,rmse,mean_abs_error,bias,alpha
69c1bdad,2714,10.154195996162851,8.747319602764321,-1.8270434473665313,1.0
e5ff9fd2,2354,10.130793560757748,8.620678917168235,-8.620678917168235,1.0
940a48d9,3963,10.097646854394302,8.365874897463495,6.0579207742967895,1.0
d085e611,6191,10.085599752166635,7.903873546177476,-2.013931158551484,1.0
a645da9a,5153,10.055776326914826,7.5076322057164395,-7.419560122522793,0.75
2b547943,3480,10.04721989677668,8.522992625922884,-8.12515903955969,1.0
a2e8e7f6,4760,10.034770396880983,8.155558339115002,3.01326846388749,1.0
272abef3,4135,10.023016592838678,7.455864570737903,7.339438935913301,0.0
efde6ac3,4559,10.011728455550978,7.291059885839721,7.238203201484268,1.0
f8662c22,5429,9.999552513336434,8.410885521570723,-4.062970234689473,0.75
98bc6f66,6063,9.983478780739024,8.897111095184206,-6.8420302674903715,0.75
fb3848a1,5919,9.95288488689921,8.610134817988042,-7.953557922260859,0.25
084d66f9,3885,9.949853336096385,7.463549258357777,-3.408896170717834,1.0
6767c111,6783,9.935976567691492,6.842962105008231,-4.612662018489513,0.75
0390d174,4411,9.904757690509305,8.745887164537702,5.648751698776572,1.0
81fc01c6,5909,9.900221608278724,6.990610772110057,-2.444413490835681,0.75
12f0cd90,5947,9.898912407440536,6.8375612572248805,4.810447878047696,1.0
2cee0cba,5500,9.891487418907545,8.238638709076596,7.046016866083601,1.0
c9578d27,4487,9.848197089765405,7.80560570627499,-1.0429363623531585,1.0
ffefef30,4570,9.802892851716534,7.8141035593585775,5.62855717411266,1.0
c84c65be,8496,9.794976038380728,8.625160803559902,-6.27934310152401,1.0
d9eca87b,6373,9.772776314413857,7.295127986889802,-2.592900169663553,0.25
eb06a4e7,4535,9.75569751818781,7.730885123181199,1.9051980734830916,1.0
7993a768,5487,9.753556414165704,8.712796269207972,-8.244166418329003,1.0
b585b4fa,4294,9.742512211778449,8.300694943020481,2.2347473965806017,1.0
2d0c268a,4550,9.739942662535507,7.785219829448755,-0.2788261221002656,0.75
5d11dfb5,5895,9.730942517681488,7.271748745108217,0.7233365857665214,0.5
1d78281a,4949,9.723251091929232,6.740268867057118,-5.395389036020279,1.0
bb337fa0,6873,9.707472118171822,7.1324290797377605,-1.876412920586027,0.75
e25f1537,3177,9.684468406298539,8.585105093138019,-4.39696148433165,0.5
c9e6734f,4735,9.651067837937221,8.927070793717908,-0.3310584999872269,1.0
a85e4bc3,4581,9.638478456190704,7.391453831041483,4.986930801135577,0.0
e7d0c1de,4711,9.627840014339176,8.17830114130338,8.15208559043645,1.0
807f0298,3747,9.623440689382699,6.277811035210542,-0.6218380474085662,1.0
56b00794,6065,9.556421198145257,6.875825633799538,0.43314214159382036,0.75
8a89da23,3935,9.48665482381776,7.802935197042851,-3.354772553572734,0.0
37344c2a,5197,9.44685836836581,7.590263056964506,2.0007479031302804,0.75
