well,rows,rmse_before,rmse_after,mae_before,mae_after
77b0d905,4174.0,13.809265882984596,13.809274403097604,13.334783671834844,13.334801785406418
10b89021,5414.0,13.806664331565049,13.806897495300156,13.106681867009065,13.106920143857494
8bda1a11,5981.0,13.782798106952912,13.782923274884292,11.031151726984845,11.031223075417053
add9c322,3932.0,13.693357794429758,13.693340214330801,12.896137248957562,12.896118613017038
1a730ac2,4605.0,13.671420935247896,13.671467749609706,11.796621660883405,11.796691298719328
f5d8aab6,4444.0,13.54130996728137,13.541297350608746,12.710624467142203,12.71061991233825
3932faa6,5452.0,13.538497977362109,13.53848231109064,10.236181419614862,10.236168926417925
2d0c268a,4550.0,13.537841844228733,13.536004835095437,10.858970666429489,10.857470330381183
1beca81d,5036.0,13.514166888051752,13.514184116970249,9.945696559041714,9.94570800392459
9da441ba,5783.0,13.490451926378181,13.490420553106212,11.664604562369787,11.664582734235676
368fe682,4936.0,13.486822512429647,13.48686511857913,11.689858361424768,11.689755053375332
b5aa9634,7326.0,13.48451185617405,13.484546459030156,10.401006156538934,10.401009407782597
e3b34f5b,5455.0,13.414892069635002,13.414842700137587,11.356044946947938,11.35600355650756
5567d551,6889.0,13.413747598927774,13.413531520649334,10.942524879227133,10.942337995852471
79507629,5302.0,13.390396090971961,13.389727580857443,12.192535567922722,12.19187393507956
67847288,7429.0,13.368028792573003,13.367994577329846,12.192432508020545,12.192396124769271
ae069086,4770.0,13.341502078156338,13.341412880014921,9.750073959143386,9.750032349250159
7acda2df,3091.0,13.327272772512796,13.327295301253928,11.242262054765172,11.24226589398374
7d57c75d,4405.0,13.270541585086827,13.271146951673781,9.2291866832475,9.229736373589244
a692b17e,3566.0,13.256017451722078,13.256103210270075,10.793458251659168,10.793490472360075
a6f967fb,4670.0,13.192039334236444,13.191448087725083,12.048575833584982,12.048001546832221
e0f36d98,4976.0,13.147333615541006,13.147331543682212,10.88441254439701,10.884413467589583
b4f37e6e,2992.0,13.144385935208026,13.14440190007792,10.412539557619333,10.412605260352649
20402d71,6372.0,13.116153718216015,13.116111375539711,12.103589655980436,12.103552792905822
974802e7,5843.0,13.739336318402593,13.069908693042885,12.185710603041475,11.76671602718088
d011f41b,2267.0,13.062721703910814,13.062889611801825,10.567786878494513,10.567928691266511
2d196986,6474.0,13.046705300239854,13.046664991434996,10.886193203416411,10.886164081656476
660d9546,4732.0,13.041120899850348,13.040761607365198,10.185615905520121,10.184949555208055
73b1447d,5670.0,13.00929022697525,13.009285992217283,10.865539207365002,10.865498473434766
3ef98781,3892.0,12.955503310770075,12.954875917337555,12.190568179700563,12.189901365936034
fc0d20b2,3954.0,12.924708262557898,12.924477916713998,9.639787977342134,9.639659236856241
e2fc7745,3692.0,12.912727451718277,12.913011894124834,9.580206447221077,9.580581373456608
70925e23,5947.0,12.89891342336262,12.898986259240433,11.325644489441812,11.325773541703715
fc03f21f,4803.0,12.886492435665245,12.886539515942383,10.527736846093399,10.527793532123615
cbe51de1,3963.0,12.879691856008472,12.879880989469603,9.8507747420217,9.850869493708801
5d7198fd,3368.0,12.870328994714235,12.87033524533507,10.116608617573931,10.116474260130001
c70c0e01,4312.0,12.85857738854919,12.85856137736276,9.997909354902232,9.997858791720622
8478df29,4857.0,12.836706817331462,12.836716372791553,12.173499429096495,12.173519879759144
28f4eda9,5266.0,12.801483719211712,12.801536988429813,9.828913815829099,9.829019707493577
9298ad5b,3964.0,12.77044984207977,12.770571233082913,10.050682243066602,10.050682662868581
c1d046f4,5513.0,7.887396448250769,12.758242848313316,6.287631461569525,9.34320398592113
3a86fe8d,5118.0,12.373998410303084,12.70222525090036,11.353966814285386,11.555023085916458
b04b58a3,3402.0,12.678210393030538,12.678389227597025,10.691351535889828,10.69147148128359
2d35f86d,4896.0,12.668556974607784,12.66856336465272,12.156379369527846,12.156392046303818
7a5660b0,4998.0,12.647398454963449,12.647338123614091,11.856064779709866,11.855998878023573
bffe3082,5723.0,12.64406047278568,12.64389440878501,9.82632245994606,9.826181263814497
10be2420,3271.0,12.545097218430298,12.545000060862764,11.253857047422498,11.253769247948796
5aef5c6c,3121.0,12.529787513114993,12.529805615774496,9.800604119584513,9.800633045811587
edf885a3,3117.0,12.516097416118706,12.515774508692349,9.963021860264547,9.962583508243672
a4f989c2,5385.0,12.50637745086036,12.506604185940638,11.44297240243954,11.443225406047983
12203f2a,3261.0,12.495919326372011,12.496099349207633,10.997373319026464,10.997503222595945
9bd2bba3,7439.0,10.905449844801113,12.492021220432152,9.974648988528338,10.958522063823034
cc08aa63,3274.0,12.487133508996555,12.487004717830064,10.872854749736582,10.872746322716129
833af382,3628.0,12.486555864231738,12.486575565853778,10.116414313590626,10.116462202481642
591cc951,4609.0,12.43841418736748,12.438151851895485,10.331447725573877,10.331137271598728
c42fe306,5095.0,12.401385165368714,12.401411208995825,8.772506342052818,8.77250172238187
fae0c593,4403.0,12.390689968411023,12.390692956959743,11.568357077536772,11.56837854234653
f8662c22,5429.0,12.389938937777124,12.39004076621441,10.838538761379008,10.838604580960197
