well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
1beca81d,5036,47.99066569928952,40.37403153963853,40.37187974361594,150.79421850893485,13.514166888051758,102.80355280964532,-34.47649881123776,0.7434765862354704,1.0
ac6f01d5,5004,47.76647495409994,41.839314752018716,41.043927630618995,158.45061543663522,20.561377448967615,110.68414048253527,-27.205097505132326,0.7982176431392825,1.0
c1708b88,6315,47.390787942181056,41.6601373614057,41.58866580949694,125.0967268814274,24.802625466457698,77.70593893924635,-22.588162475723358,0.7688986215940455,1.0
43e16325,3720,44.72888834659164,36.875582016351004,-36.875582016351004,45.776662453735184,44.28960476128953,1.047774107143546,-0.43928358530210687,0.7039848403062154,1.0
708caea9,6548,44.14779015427569,41.263361145721454,-41.10777440262492,71.1111721606084,38.14742118622788,26.963382006332715,-6.000368968047809,0.8153621873420764,1.0
f6824bb0,5015,44.13130248704367,38.51227796195677,38.49421956166938,135.86892127261908,21.343201739058706,91.7376187855754,-22.788100747984963,0.7982252680055661,1.0
374be387,9965,42.45642945682313,37.1830765960691,37.146652620117216,118.28459341583657,10.577428352738604,75.82816395901344,-31.879001104084526,0.6936776359833056,1.0
30d75030,3404,42.08261139057805,33.68103043708918,32.956061527441875,114.62458745539791,19.075494327365885,72.54197606481986,-23.007117063212167,0.7548302626578128,1.0
974802e7,5843,40.64690157429221,36.453204087210054,36.453204087210054,164.69105856324222,13.739336318402595,124.04415698895002,-26.907565255889615,0.766508413652929,1.0
f88ddb26,4990,40.551949789305766,36.02229707951348,36.02229707951348,24.210115970050985,51.897671194422394,-16.34183381925478,11.345721405116628,0.7795505824664108,0.25
57f05c51,4771,40.471197981742996,35.718210543315635,-35.718210543315635,254.36085762503728,40.471197981742996,213.8896596432943,0.0,1.0,1.0
9a6b0392,4255,40.123795521381915,33.59535845054275,33.52595058225872,128.33760956807282,11.82257518103387,88.21381404669091,-28.301220340348046,0.7538171637369744,1.0
ab112491,5185,39.82172938234252,35.804528656308186,-35.80334115886377,84.72572454831474,29.983248540220572,44.903995165972226,-9.838480842121946,0.809212540580282,1.0
a0383629,5832,39.712733084516614,36.13448130339653,36.13448130339653,140.4510022975271,14.256119265609273,100.7382692130105,-25.456613818907343,0.7922622494181217,1.0
ff0aea78,3261,39.41245589818333,37.030241427098005,-37.030241427098005,66.53877206764606,32.697694712425466,27.126316169462733,-6.714761185757865,0.7942135965585189,1.0
896d15b9,4279,38.91465240748516,32.63565529262261,-31.966660578595537,102.36038707575489,29.174091616826004,63.44573466826973,-9.740560790659153,0.8623692467621521,1.0
fb03ae90,6431,38.4011698603047,37.107972543545884,37.107972543545884,259.2835555771078,38.4011698603047,220.8823857168031,0.0,1.0,1.0
9d5e14d4,5400,38.376756942019796,35.20767376209547,35.20767376209547,59.43288164288188,32.00548564317395,21.056124700862085,-6.371271298845848,0.764297387635635,1.0
fd8f77fa,5272,38.358281405464226,35.727303637402755,-35.727303637402755,146.71446418022092,27.23358893606676,108.35618277475669,-11.124692469397466,0.9006068491433418,1.0
5a1a8fd8,5260,38.23984050059368,35.198749896417326,35.083571682313014,131.23132899408432,19.303647622472898,92.99148849349064,-18.93619287812078,0.8220466431428454,1.0
c66be2b8,4154,36.95012026236076,28.42551961948752,28.38924712161232,92.66082436501291,21.847003445752875,55.71070410265215,-15.103116816607887,0.7795496760698912,1.0
42c538a1,3279,36.29964429159855,32.12795064920349,-31.557561812897927,81.70562600406397,26.874342936561284,45.405981712465426,-9.425301355037263,0.82348001571675,1.0
939d9c34,5101,36.0283251891346,28.978533775211638,28.978533775211638,154.356626835639,18.711967427526602,118.3283016465044,-17.316357761607996,0.8531965836266348,1.0
206b6193,6535,35.9821361175572,31.70199811130349,31.70199811130349,36.50899923584182,35.79708369041985,0.5268631182846235,-0.18505242713734305,0.726480835619438,1.0
46a301e9,8226,35.58565984317138,32.553051221055085,32.553051221055085,151.60339949760814,16.767976667130174,116.01773965443675,-18.817683176041204,0.8566216555542436,1.0
4cecf7b3,6019,35.57694967921833,30.878017287952545,30.726985370458888,107.72330043340912,10.93364532404231,72.14635075419079,-24.64330435517602,0.7256526929795178,1.0
8bfa881d,4089,35.31749161968057,28.510258352367398,-28.095355342542906,95.34739525656087,26.495123002323776,60.029903636880306,-8.82236861735679,0.8705969150492325,1.0
7e721392,6174,35.10827559304666,33.464349539220045,33.464349539220045,10.614135680014654,42.02561314070432,-24.494139913032008,6.9173375476576595,0.8066832254030711,0.0
4f3eb9e9,4697,34.63572453145632,26.38243171971592,-24.157505949318185,140.03830315278782,34.63572453145632,105.4025786213315,0.0,1.0,1.0
a959858c,4404,34.61564570986145,31.628184869712236,-31.628184869712236,1465.9700768903067,34.61564570986145,1431.3544311804453,0.0,1.0,1.0
b37fd114,8161,33.47238606566461,29.857605594078766,-28.967641661398456,117.30806376644391,24.63635155979315,83.8356777007793,-8.836034505871456,0.8997475332528554,1.0
b95e7121,6306,33.36049272667701,27.894273657549906,27.867544240099527,253.2883604908847,8.912828280450883,219.9278677642077,-24.447664446226128,0.8982454320344804,1.0
9d3ec64c,3480,33.19478062349545,29.77316687804428,29.735653086519598,87.07608439888288,11.907268163293118,53.88130377538744,-21.28751246020233,0.7087990151454244,1.0
da3bfe4e,5549,33.07840693903092,30.031557459052358,30.031557459052358,30.20824343453741,33.77152387972144,-2.8701635044935117,0.6931169406905227,0.8067666634142883,0.0
